game_date,game_pk,home_team,away_team,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,bb_type,inning,inning_topbot,pitch_number,at_bat_number,events
2017-06-07,490992,OAK,TOR,81.4,48.612,214.0,184.41,130.53,fly_ball,4,Bot,7,36,field_out
2017-04-03,490111,HOU,SEA,98.3,22.704,353.0,145.11,53.98,fly_ball,8,Bot,4,60,field_out
2017-07-03,491343,MIN,LAA,81.4,48.776,246.0,101.82,103.85,fly_ball,4,Top,2,32,field_out
2017-09-11,492250,SF,LAD,79.3,9.841,116.0,152.83,150.71,ground_ball,8,Top,4,72,field_out
2017-06-24,491222,SF,NYM,83.4,52.692,251.0,133.07,93.81,fly_ball,5,Bot,3,35,field_out
2017-07-22,491547,LAD,ATL,98.9,-4.931,14.0,165.27,108.18,ground_ball,1,Bot,3,7,single
2017-07-14,491437,OAK,CLE,89.0,39.008,306.0,37.43,103.52,fly_ball,6,Top,7,42,field_out
2017-09-08,492210,TEX,NYY,99.7,33.961,378.0,194.92,54.15,fly_ball,3,Top,3,22,home_run
2017-06-15,491092,LAA,KC,98.4,-21.479,7.0,109.35,147.88,ground_ball,1,Bot,3,9,grounded_into_double_play
2017-09-25,492436,TEX,HOU,109.5,18.925,337.0,222.24,103.48,line_drive,1,Bot,2,8,single
2017-07-16,491467,OAK,CLE,110.9,17.605,327.0,55.8,115.18,line_drive,8,Top,2,61,double
2017-09-15,492308,CHC,STL,88.2,1.91,40.0,162.16,146.51,ground_ball,8,Top,4,61,single
2017-05-17,490702,SEA,OAK,69.9,-32.319,4.0,155.77,170.09,ground_ball,1,Top,2,2,field_out
2017-04-13,490238,NYY,TB,96.4,19.079,310.0,49.21,92.33,line_drive,6,Bot,1,47,field_out
2017-07-25,491594,STL,COL,103.5,26.53,408.0,86.09,30.53,fly_ball,1,Bot,1,6,home_run
2017-09-28,492474,MIA,ATL,70.1,7.588,78.0,113.19,152.93,ground_ball,8,Top,4,63,field_out
2017-09-26,492451,COL,MIA,66.1,-24.129,5.0,102.88,165.66,ground_ball,7,Bot,3,56,force_out
2017-09-08,492206,SEA,LAA,79.5,-4.425,22.0,103.04,170.73,ground_ball,5,Top,1,38,force_out
2017-08-15,491886,BOS,STL,80.7,36.241,291.0,172.51,88.74,fly_ball,9,Top,1,76,field_out
2017-05-17,490693,STL,BOS,64.5,-4.383,17.0,114.38,158.53,ground_ball,3,Top,8,24,field_out
2017-05-18,490717,PIT,WSH,100.2,-4.497,16.0,128.54,197.61,ground_ball,6,Bot,2,57,field_out
2017-05-27,490842,MIN,TB,90.6,41.18,308.0,55.73,100.09,fly_ball,6,Bot,6,55,field_out
2017-04-13,490237,KC,OAK,89.5,22.041,308.0,65.95,88.23,line_drive,7,Bot,2,55,field_out
2017-04-20,490333,OAK,SEA,97.9,21.422,369.0,136.19,43.09,line_drive,5,Bot,1,41,sac_fly
2017-09-02,492126,HOU,NYM,71.4,75.516,90.0,146.63,193.48,popup,5,Top,5,33,field_out
2017-08-02,491710,MIA,WSH,83.8,-12.772,10.0,144.16,155.98,ground_ball,7,Bot,5,54,field_out
2017-05-08,490580,NYM,SF,84.0,42.591,261.0,190.11,109.78,fly_ball,8,Top,5,62,field_out
2017-07-25,491598,TEX,MIA,75.2,46.375,228.0,161.78,110.65,fly_ball,6,Bot,4,61,field_out
2017-08-12,491845,TOR,PIT,100.6,10.927,199.0,186.93,96.18,line_drive,6,Bot,3,51,single
2017-06-14,491083,CLE,LAD,87.9,-4.187,28.0,137.21,144.39,ground_ball,9,Bot,5,78,field_out
2017-04-18,490302,HOU,LAA,66.2,81.813,59.0,151.2,201.11,popup,8,Top,3,61,field_out
2017-06-24,491227,KC,TOR,78.3,30.435,282.0,88.27,96.36,fly_ball,7,Top,2,51,field_out
2017-08-19,491930,ATL,CIN,107.2,20.337,393.0,17.03,71.56,line_drive,3,Bot,2,22,home_run
2017-07-17,491492,CIN,WSH,86.0,22.932,286.0,179.84,91.28,line_drive,3,Bot,4,26,field_out
2017-06-06,490972,ATL,PHI,89.6,28.8,333.0,144.76,65.06,fly_ball,7,Bot,1,52,field_out
2017-04-18,490296,CIN,BAL,97.4,-6.251,21.0,144.78,152.33,ground_ball,6,Bot,7,60,field_out
2017-07-20,491528,SF,SD,86.6,-6.252,13.0,128.21,140.06,ground_ball,5,Bot,1,34,field_out
2017-08-23,491993,LAA,TEX,71.3,-29.861,3.0,154.71,164.65,ground_ball,4,Top,3,27,field_out
2017-07-31,491672,PHI,ATL,90.1,21.832,338.0,92.7,73.51,fly_ball,8,Bot,3,72,field_out
2017-04-18,490302,HOU,LAA,96.6,-8.385,17.0,152.22,156.87,ground_ball,2,Bot,5,15,field_out
2017-08-23,491990,BAL,OAK,88.2,81.302,50.0,124.36,211.43,popup,11,Bot,3,97,field_out
2017-07-31,491679,CWS,TOR,88.7,28.921,316.0,175.53,74.64,fly_ball,1,Bot,2,7,field_out
2017-05-09,490591,CIN,NYY,83.0,34.954,267.0,53.51,112.89,line_drive,1,Top,5,4,field_out
2017-06-08,491004,CIN,STL,97.0,45.683,300.0,190.46,89.39,fly_ball,7,Bot,2,59,field_out
2017-09-02,492123,MIN,KC,73.7,5.332,81.0,180.14,107.48,ground_ball,2,Bot,6,20,single
2017-09-09,492227,STL,PIT,99.8,28.584,390.0,114.02,34.3,fly_ball,7,Top,6,54,home_run
2017-05-20,490746,BAL,TOR,93.7,-11.52,17.0,126.94,180.37,ground_ball,6,Top,7,46,field_out
2017-08-24,492006,TB,TOR,86.1,-24.918,3.0,112.11,159.38,ground_ball,6,Top,6,46,field_out
2017-09-30,492508,PHI,NYM,104.1,25.822,367.0,158.72,46.54,fly_ball,5,Top,1,40,triple
2017-08-04,491727,NYM,LAD,58.1,37.028,185.0,135.09,147.95,line_drive,3,Bot,4,27,field_out
2017-09-08,492209,KC,MIN,92.8,19.322,318.0,81.41,75.74,line_drive,3,Bot,2,25,field_out
2017-09-07,492198,KC,MIN,56.1,5.221,51.0,110.31,155.61,ground_ball,9,Bot,2,74,field_out
2017-07-28,491631,MIA,CIN,90.2,45.505,272.0,48.04,113.74,fly_ball,4,Bot,2,37,sac_fly
2017-08-22,491980,HOU,WSH,71.6,16.798,172.0,68.18,119.87,line_drive,8,Bot,4,62,single
2017-09-01,492115,CWS,TB,102.1,3.416,99.0,164.39,101.85,ground_ball,7,Bot,3,51,single
2017-07-27,491621,MIA,CIN,68.1,3.311,57.0,150.88,148.68,ground_ball,9,Top,4,76,field_out
2017-05-06,490546,BAL,CWS,92.8,-6.359,21.0,107.21,149.3,ground_ball,7,Top,6,58,field_out
2017-07-17,491486,COL,SD,72.9,-14.027,7.0,144.38,147.65,ground_ball,3,Bot,4,33,field_out
2017-05-27,490837,PIT,NYM,102.3,-11.403,14.0,139.52,149.15,ground_ball,6,Bot,1,53,field_out
2017-08-02,491704,SF,OAK,88.4,42.794,269.0,183.3,101.07,fly_ball,5,Top,4,35,field_out
2017-08-03,491721,MIL,STL,91.0,15.781,249.0,82.06,104.75,line_drive,6,Top,4,44,single
2017-05-02,490495,CHC,PHI,103.7,4.742,94.0,142.53,167.05,ground_ball,8,Bot,2,73,grounded_into_double_play
2017-04-30,490470,LAD,PHI,96.2,35.348,335.0,175.84,68.5,fly_ball,8,Bot,4,68,field_out
2017-07-02,491337,STL,WSH,80.1,20.382,273.0,127.04,84.0,line_drive,8,Top,3,63,sac_fly
2017-07-24,491585,LAD,MIN,59.1,48.738,160.0,109.55,147.55,popup,3,Bot,1,20,field_out
2017-07-20,491523,CIN,ARI,85.8,38.824,316.0,80.22,73.47,fly_ball,8,Top,5,57,field_out
2017-04-15,490258,SF,COL,105.4,26.581,399.0,141.96,29.68,fly_ball,3,Top,3,16,field_out
2017-08-22,491971,PHI,MIA,95.5,22.815,377.0,79.91,45.34,line_drive,1,Top,1,1,double
2017-04-12,490221,CHC,LAD,91.3,67.202,106.0,144.6,170.09,popup,2,Top,6,15,field_out
2017-07-09,491422,COL,CWS,96.3,-20.905,4.0,127.37,141.81,ground_ball,1,Top,3,1,field_out
2017-06-25,491238,CWS,OAK,57.4,53.459,148.0,171.47,158.51,popup,3,Top,9,16,field_out
2017-05-05,490541,SEA,TEX,80.1,-21.249,7.0,105.46,152.33,ground_ball,10,Top,3,73,field_error
2017-07-03,491341,COL,CIN,102.7,15.78,339.0,137.46,56.09,line_drive,5,Top,2,37,field_out
2017-09-14,492285,NYY,BAL,99.3,14.156,241.0,152.22,81.21,line_drive,3,Top,6,22,single
2017-04-26,490409,CWS,KC,83.8,49.091,260.0,79.1,99.76,fly_ball,4,Top,4,25,field_out
2017-08-12,491840,TEX,HOU,68.3,-12.795,12.0,116.69,150.26,ground_ball,5,Bot,5,41,field_out
2017-09-04,492158,COL,SF,98.6,13.849,272.0,44.86,117.13,line_drive,4,Bot,3,30,double
2017-04-27,490422,SF,LAD,92.3,38.836,320.0,148.32,65.2,fly_ball,1,Bot,7,8,field_out
2017-09-24,492430,PIT,STL,92.8,24.892,331.0,42.5,85.58,line_drive,6,Bot,2,48,field_out
2017-06-20,491160,BAL,CLE,74.9,87.714,36.0,110.13,205.57,popup,4,Top,4,32,field_out
2017-06-01,490905,BAL,BOS,91.3,-11.565,9.0,108.31,144.34,ground_ball,7,Bot,3,53,field_out
2017-04-20,490329,TB,DET,55.5,-53.548,2.0,113.76,180.45,ground_ball,3,Top,1,22,field_out
2017-04-16,490272,MIN,CWS,71.9,-6.576,13.0,149.63,155.36,ground_ball,9,Top,2,70,field_out
2017-09-02,492119,CHC,ATL,104.2,10.426,237.0,158.5,70.15,line_drive,4,Bot,3,43,triple
2017-07-26,491608,NYY,CIN,90.0,47.347,288.0,59.13,105.68,fly_ball,9,Top,2,75,field_out
2017-05-16,490687,KC,NYY,76.8,35.076,279.0,197.12,104.56,fly_ball,2,Top,1,9,field_out
2017-07-05,491364,MIL,BAL,89.3,37.277,330.0,186.69,72.69,fly_ball,6,Top,1,44,field_out
2017-06-24,491222,SF,NYM,46.4,-31.706,4.0,143.08,165.01,ground_ball,9,Bot,5,73,field_out
2017-08-19,491937,HOU,OAK,88.1,23.344,318.0,117.3,69.08,line_drive,2,Top,7,12,field_out
2017-08-08,491781,CWS,HOU,79.7,55.452,201.0,94.51,121.96,popup,6,Top,2,55,field_out
2017-06-23,491207,SF,NYM,73.3,56.887,170.0,185.86,159.53,popup,5,Top,4,40,field_out
2017-05-19,490718,SD,ARI,110.1,3.885,119.0,140.9,135.68,ground_ball,3,Bot,5,33,field_out
2017-04-15,490260,OAK,HOU,89.8,36.424,344.0,60.62,67.97,fly_ball,3,Top,6,21,field_out
2017-09-11,492252,MIL,PIT,81.5,47.39,239.0,159.35,104.63,fly_ball,8,Top,3,57,field_out
2017-06-30,491301,HOU,NYY,95.4,31.667,381.0,152.7,39.6,fly_ball,5,Bot,1,42,field_out
2017-04-23,490377,OAK,SEA,95.2,-10.327,7.0,144.19,147.97,ground_ball,2,Top,7,12,field_out
2017-06-28,491265,SD,ATL,77.5,-22.129,7.0,115.73,147.85,ground_ball,9,Top,3,74,field_out
2017-06-08,490612,WSH,BAL,71.2,48.455,200.0,176.57,117.72,popup,3,Bot,5,27,field_out
2017-08-22,491971,PHI,MIA,99.2,26.317,387.0,199.98,52.31,fly_ball,9,Top,2,72,home_run
2017-05-03,490505,SD,COL,97.9,26.714,386.0,138.66,50.84,fly_ball,8,Top,3,71,field_out
2017-07-26,491605,TB,BAL,101.4,-21.982,8.0,108.73,156.58,ground_ball,4,Top,3,24,force_out
2017-06-09,491011,HOU,LAA,97.0,-8.603,12.0,143.59,151.79,ground_ball,6,Top,5,48,field_out
2017-09-10,492237,ATL,MIA,78.6,17.128,197.0,183.17,138.61,line_drive,5,Bot,5,48,double
2017-07-22,491547,LAD,ATL,89.6,26.465,303.0,48.2,96.41,line_drive,8,Bot,3,70,field_out
2017-06-03,490936,TOR,NYY,71.7,-11.238,11.0,144.44,150.45,ground_ball,1,Top,4,2,field_out
2017-07-21,491540,NYM,OAK,59.3,9.364,86.0,112.87,148.73,ground_ball,5,Bot,3,39,force_out
2017-08-11,491827,SEA,LAA,102.1,-19.721,4.0,135.47,145.18,ground_ball,1,Bot,4,4,field_out
2017-08-08,491786,ATL,PHI,60.7,30.992,191.0,116.41,120.78,popup,3,Bot,2,22,field_out
2017-08-13,491853,TB,CLE,77.6,20.459,235.0,112.26,101.08,line_drive,7,Top,3,48,single
2017-04-05,490130,BOS,PIT,65.5,-15.591,5.0,169.62,119.81,ground_ball,4,Bot,4,25,field_out
2017-08-05,491744,TB,MIL,91.2,62.686,197.0,89.64,125.68,fly_ball,4,Bot,3,27,field_out
2017-06-05,490959,ATL,PHI,100.1,22.487,362.0,166.59,50.93,fly_ball,8,Top,3,68,field_out
2017-08-28,492053,PHI,ATL,89.5,22.95,308.0,47.15,94.45,line_drive,5,Top,3,30,field_out
2017-07-14,491435,ATL,ARI,80.3,13.019,177.0,62.54,136.98,line_drive,1,Bot,6,5,double
2017-07-06,491384,STL,MIA,78.5,40.512,271.0,176.72,96.87,fly_ball,2,Top,5,12,field_out
2017-06-14,491086,MIA,OAK,83.7,56.98,214.0,81.09,121.21,fly_ball,3,Top,6,23,field_out
2017-09-21,492387,SEA,TEX,86.9,49.214,259.0,178.53,103.15,fly_ball,5,Bot,1,36,field_out
2017-05-24,490797,CHC,SF,95.7,-10.408,14.0,125.44,181.38,ground_ball,2,Top,2,12,field_out
2017-09-09,492219,TOR,DET,97.3,25.954,342.0,184.7,96.52,fly_ball,5,Bot,1,37,field_out
2017-08-06,491762,COL,PHI,81.6,29.902,313.0,179.86,93.54,line_drive,9,Bot,3,71,field_out
2017-08-10,491816,DET,PIT,97.1,27.063,344.0,36.63,82.46,fly_ball,1,Top,4,2,triple
2017-04-15,490265,CHC,PIT,80.2,69.975,115.0,131.75,153.95,popup,5,Top,1,37,field_out
2017-07-01,491317,NYM,PHI,69.0,-20.429,6.0,113.14,132.97,ground_ball,4,Top,4,30,force_out
2017-09-17,492338,CHC,STL,77.7,51.988,208.0,87.63,126.74,popup,9,Top,3,79,field_out
2017-04-25,490404,COL,WSH,82.1,-19.233,7.0,106.75,149.97,ground_ball,5,Bot,8,51,field_out
2017-08-08,491789,KC,STL,67.6,37.04,227.0,137.81,105.48,fly_ball,4,Bot,2,30,single
2017-09-15,492310,MIN,TOR,77.2,-29.152,5.0,113.25,155.48,ground_ball,7,Top,4,57,field_out
2017-09-17,492331,WSH,LAD,84.3,37.38,293.0,150.74,80.15,fly_ball,1,Bot,6,5,field_out
2017-05-27,490836,MIA,LAA,89.9,32.372,329.0,102.02,79.69,fly_ball,5,Bot,6,36,field_out
2017-07-09,491419,WSH,ATL,58.7,50.9,169.0,176.9,151.12,popup,4,Top,3,29,field_out
2017-07-17,491481,SF,CLE,95.6,9.385,192.0,106.02,145.01,line_drive,2,Top,2,9,field_out
2017-05-19,490724,NYM,LAA,87.8,-6.645,16.0,107.88,146.46,ground_ball,1,Top,4,2,field_out
2017-08-09,491802,DET,PIT,80.8,9.016,128.0,140.51,137.35,ground_ball,5,Bot,2,40,field_out
2017-09-04,492162,MIA,WSH,84.8,8.707,148.0,176.51,131.74,line_drive,2,Bot,2,17,single
2017-07-08,491407,COL,CWS,94.6,22.921,352.0,56.78,72.94,line_drive,3,Top,1,23,field_out
2017-04-25,490393,CLE,HOU,85.2,-22.94,4.0,105.02,165.01,ground_ball,1,Bot,2,4,field_out
2017-05-07,490563,OAK,DET,92.0,-6.169,15.0,112.37,154.72,ground_ball,1,Bot,5,5,field_out
2017-08-29,492076,KC,TB,50.1,-16.615,8.0,99.32,172.77,ground_ball,5,Top,3,32,field_out
2017-06-11,491049,WSH,TEX,97.3,18.326,299.0,44.35,102.42,line_drive,7,Bot,4,45,field_out
2017-05-27,490834,CWS,DET,87.2,28.493,330.0,115.49,62.14,line_drive,4,Bot,4,31,field_out
2017-08-14,491864,SEA,BAL,90.2,17.691,227.0,179.11,119.3,line_drive,7,Top,5,57,single
2017-04-11,490204,MIA,ATL,78.1,53.276,212.0,102.56,113.78,popup,1,Top,4,2,field_out
2017-05-15,490670,LAA,CWS,75.8,-38.382,3.0,112.57,151.86,ground_ball,2,Bot,1,13,field_out
2017-05-29,490860,LAA,ATL,48.5,-28.907,4.0,125.86,181.23,ground_ball,7,Bot,4,54,field_out
2017-10-01,492527,LAA,SEA,71.2,9.064,98.0,123.87,136.19,ground_ball,5,Top,3,30,single
2017-05-30,490880,MIN,HOU,92.8,-2.99,15.0,133.76,137.1,ground_ball,2,Top,3,14,field_out
2017-06-13,491072,MIN,SEA,86.9,38.822,335.0,147.34,78.39,fly_ball,8,Top,5,79,field_out
2017-05-12,490630,COL,LAD,88.8,25.96,361.0,184.25,56.58,line_drive,7,Top,1,52,field_out
2017-09-27,492464,TEX,HOU,93.4,54.434,269.0,69.34,100.59,fly_ball,6,Bot,2,56,field_out
2017-09-26,492457,BOS,TOR,71.3,-2.488,23.0,141.49,145.63,ground_ball,5,Top,1,35,field_out
2017-04-08,490172,BAL,NYY,91.2,47.37,274.0,104.75,86.25,fly_ball,3,Top,2,22,field_out
2017-07-03,491340,OAK,CWS,62.8,-38.821,3.0,112.37,153.37,ground_ball,1,Top,3,1,field_out
2017-06-11,491036,NYY,BAL,81.6,49.769,250.0,77.62,113.65,fly_ball,7,Bot,5,70,field_out
2017-09-14,492292,CHC,NYM,65.9,-20.088,7.0,128.19,183.52,ground_ball,7,Top,3,66,grounded_into_double_play
2017-08-14,491864,SEA,BAL,62.4,83.469,69.0,97.13,194.85,popup,7,Bot,3,61,field_out
2017-04-04,490102,CWS,DET,71.7,-25.558,5.0,105.53,168.57,ground_ball,6,Top,4,46,force_out
2017-06-13,491072,MIN,SEA,89.5,30.676,349.0,149.61,53.01,fly_ball,2,Bot,3,19,field_out
2017-06-07,490990,MIL,SF,78.8,28.905,269.0,182.53,103.59,line_drive,6,Bot,2,49,field_out
2017-07-22,491559,TB,TEX,60.4,-42.815,3.0,151.07,164.45,ground_ball,4,Top,4,26,field_out
2017-09-02,492123,MIN,KC,108.5,-3.497,33.0,134.08,97.79,ground_ball,4,Top,3,34,single
2017-08-22,491970,PIT,LAD,91.2,1.382,55.0,86.61,100.21,ground_ball,2,Top,4,15,single
